Name,RecipeIngredientParts,RecipeInstructions
Spaghetti Carbonara,"spaghetti, eggs, parmesan cheese, pancetta, pepper",Boil pasta. Cook pancetta. Mix eggs and cheese. Combine everything in a pan and toss.
Chicken Curry,"chicken, onion, garlic, ginger, tomato, curry powder, coconut milk","Sauté onions, garlic, and ginger. Add chicken and brown it. Add spices and tomato. Simmer with coconut milk."
Veggie Stir Fry,"broccoli, bell pepper, soy sauce, garlic, tofu, sesame oil",Sauté garlic. Add tofu and cook until golden. Add vegetables and stir-fry. Finish with soy sauce.
Pancakes,"flour, eggs, milk, sugar, butter, baking powder, salt",Mix dry ingredients. Add eggs and milk. Stir into batter. Cook on a hot griddle until golden.
Grilled Cheese Sandwich,"bread, cheese, butter",Butter bread slices. Place cheese in between. Grill on pan until golden and crispy.
Tomato Soup,"tomatoes, onion, garlic, vegetable broth, cream, salt, pepper",Cook onions and garlic. Add tomatoes and broth. Simmer and blend. Add cream and season to taste.
Egg Fried Rice,"rice, eggs, green peas, soy sauce, oil, green onion",Scramble eggs. Add rice and vegetables. Stir-fry and add soy sauce.
Fruit Smoothie,"banana, strawberries, yogurt, honey, milk",Blend all ingredients until smooth. Serve chilled.
Mac and Cheese,"macaroni, cheddar cheese, milk, butter, flour, salt","Cook macaroni. Make cheese sauce with butter, flour, milk, and cheese. Mix and bake."
Omelette,"eggs, salt, pepper, cheese, spinach, onion",Beat eggs. Add ingredients. Cook on pan until set.
Tuna Salad,"tuna, mayonnaise, onion, celery, salt, pepper",Mix all ingredients in a bowl. Serve chilled or on bread.
Mango Lassi,"mango, yogurt, sugar, milk, cardamom",Blend all ingredients until smooth. Serve cold.
Grilled Chicken,"chicken breast, olive oil, garlic, lemon, salt, pepper",Marinate chicken. Grill on medium heat until cooked through.
Chocolate Mug Cake,"flour, cocoa powder, sugar, milk, oil, baking powder, vanilla",Mix ingredients in mug. Microwave for 1-2 minutes.
Cucumber Raita,"cucumber, yogurt, salt, cumin, coriander",Grate cucumber and mix with yogurt and spices. Serve cold.
